Source.Name,Open time,Open,Date,Quartile,Month,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
XRPUSDT-1d-2023-09.csv,1.69E+12,0.4744,12-09-2023,Q3,September,0.4867,0.47,0.4804,356403388,1.69E+12,170451184.1,157173,199985277,95632256.07,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.4804,13-09-2023,Q3,September,0.4897,0.4723,0.4832,274586793,1.69E+12,131944337.1,120668,134459146,64605482.3,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.4833,14-09-2023,Q3,September,0.4941,0.4799,0.4892,232539752,1.69E+12,112816288.4,104856,117719680,57098592.6,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.4892,15-09-2023,Q3,September,0.5086,0.4874,0.5005,305608308,1.69E+12,151756322.9,148714,161120758,80024791.83,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.5004,16-09-2023,Q3,September,0.5035,0.4968,0.4998,132881408,1.69E+12,66494200.14,69955,60242932,30147561.38,0
XRPUSDT-1d-2023-09.csv,1.69E+12,0.4997,17-09-2023,Q3,September,0.5004,0.4894,0.4925,142846615,1.70E+12,70781411.85,77296,67806967,33601870.2,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.4925,18-09-2023,Q3,September,0.5077,0.4864,0.503,298374742,1.70E+12,148765121.7,141284,162051650,80796803.84,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.503,19-09-2023,Q3,September,0.5166,0.5005,0.514,295258283,1.70E+12,150372427.5,133750,156742817,79824699.98,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5139,20-09-2023,Q3,September,0.5254,0.5065,0.5212,288497937,1.70E+12,149026404.2,158253,142322211,73525015.58,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5213,21-09-2023,Q3,September,0.5214,0.5001,0.5071,277323578,1.70E+12,141242377.5,136496,130468517,66439264.08,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5072,22-09-2023,Q3,September,0.517,0.5036,0.5122,233893377,1.70E+12,119497921.2,110454,123565418,63137263.94,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5122,23-09-2023,Q3,September,0.5138,0.5055,0.5076,101716334,1.70E+12,51932821.01,58142,49616069,25329747.74,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5076,24-09-2023,Q3,September,0.5118,0.4984,0.5021,112889323,1.70E+12,57298613.7,62706,53403822,27105177.27,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.502,25-09-2023,Q3,September,0.5072,0.4912,0.5056,303674393,1.70E+12,151571274.5,136979,166339963,83029751.17,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5056,26-09-2023,Q3,September,0.5075,0.496,0.5019,271054261,1.70E+12,136072298.7,114431,149252617,74936633.08,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5019,27-09-2023,Q3,September,0.5071,0.4968,0.4993,237514582,1.70E+12,119114611,96466,111402400,55867840.1,0
